_event_id,_day_of_week,_start_time,_end_time,_weeks,_break_mins,_spanName,_event_catName,_tag1,_tag2,_capacity_req,_deptName,_global_event,_protected,_suspended,_grouping_id,_registers_req,_lock,_resType,_resName,_resWeeks,_layoutName,_scheduling_status,_quantity
59805,Sat,12:00,13:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,SPAN 1106,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room 12,,,,
59806,Tue,17:00,18:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL KOREAN 1A,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  7,,,,
59807,Tue,18:00,19:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL KOREAN 1A,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  7,,,,
59808,Thu,18:00,19:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL KOREAN 1A,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  7,,,,
59809,Thu,17:00,18:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL KOREAN 1A,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLLS,,,,
59810,Tue,17:00,18:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLLS,,,,
59811,Tue,18:00,19:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  4,,,,
59814,Thu,18:00,19:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLLN,,,,
59627,Sat,13:00,14:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,SPAN 1102,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  1,,,,
59628,Sat,14:00,15:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,SPAN 1102,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  1,,,,
59629,Sat,15:00,16:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,SPAN 1102,,,,
